문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,5652,사전평가,1.5,1단계,객관식,중,어휘,명사
2,15485,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,46597,사전평가,1.5,1단계,객관식,중,어휘,동사
4,46844,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,21973,사전평가,1.5,2단계,객관식,중,어휘,명사
6,25274,사전평가,1.5,2단계,객관식,중,어휘,동사
7,17307,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,46706,사전평가,1.5,2단계,객관식,중,어휘,부사
9,4307,사전평가,1.5,3단계,객관식,중,어휘,명사
10,31239,사전평가,1.5,3단계,객관식,중,어휘,동사
11,45279,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,48806,사전평가,1.5,4단계,객관식,중,어휘,명사
13,25655,사전평가,1.5,4단계,객관식,중,어휘,동사
14,35016,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,46303,사전평가,1.5,1단계,객관식,중,문법,조사
16,26609,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,2291,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,44988,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,9427,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,11877,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,47390,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,41606,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,17455,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,16161,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,22618,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,10016,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,490,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,2264,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,30039,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,25009,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,22129,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,26596,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,17694,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,25343,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,7834,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,18185,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,45761,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,15156,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,18841,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,32387,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,29593,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,37878,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,41541,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,2369,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,13699,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,49509,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,21088,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,33018,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,11448,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,43808,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
