문항코드,평가종류,출제단계,문항유형,감성,평가영역,정답
1,사전평가,2단계,객관식,부정형,말하기,1
2,영주용종합평가,2단계,객관식,부정형,문법,4
3,사전평가,1단계,객관식,부정형,말하기,4
4,사전평가,1단계,구술형,부정형,쓰기,3
5,영주용종합평가,3단계,단답형,부정형,쓰기,2
6,사전평가,5단계-한국사회-기본,객관식,긍정형,쓰기,1
7,영주용종합평가,2단계,객관식,해당없음,말하기,4
8,영주용종합평가,2단계,객관식,긍정형,담화,3
9,사전평가,5단계-한국사회-심화,객관식,부정형,대한민국 국민의 기본 소양,4
10,사전평가,3단계,객관식,부정형,발음,3
11,중간평가,4단계,작문형,긍정형,어휘,2
12,귀화용종합평가,5단계-한국사회-심화,객관식,해당없음,말하기,1
13,귀화용종합평가,2단계,작문형,긍정형,어휘,3
14,중간평가,1단계,객관식,해당없음,말하기+한국문화,3
15,사전평가,1단계,작문형,해당없음,대한민국 국민의 기본 소양,2
16,영주용종합평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,1
17,사전평가,1단계,단답형,해당없음,말하기,3
18,귀화용종합평가,3단계,객관식,긍정형,어휘,1
19,사전평가,1단계,단답형,해당없음,쓰기,4
20,중간평가,3단계,단답형,부정형,말하기+한국문화,2
21,사전평가,5단계-한국사회-기본,작문형,긍정형,읽기,4
22,사전평가,3단계,객관식,부정형,문법,1
23,사전평가,2단계,객관식,긍정형,말하기,1
24,사전평가,1단계,작문형,긍정형,말하기+문화,2
25,영주용종합평가,1단계,객관식,해당없음,담화,1
26,영주용종합평가,2단계,작문형,부정형,발음,2
27,사전평가,1단계,객관식,부정형,말하기+한국문화,3
28,귀화용종합평가,2단계,객관식,부정형,문법,2
29,사전평가,5단계-한국사회-기본,작문형,부정형,말하기+한국문화,2
30,사전평가,1단계,구술형,부정형,말하기+한국사회,1
31,중간평가,2단계,객관식,해당없음,읽기,4
32,사전평가,4단계,객관식,해당없음,말하기+한국문화,1
33,귀화용종합평가,5단계-한국사회-심화,단답형,긍정형,발음,2
34,사전평가,1단계,객관식,긍정형,문법,3
35,사전평가,3단계,객관식,긍정형,읽기,4
36,귀화용종합평가,1단계,객관식,부정형,말하기+한국사회,1
37,사전평가,2단계,객관식,부정형,말하기+문화,4
38,사전평가,2단계,단답형,부정형,읽기,1
39,귀화용종합평가,2단계,객관식,해당없음,쓰기,3
40,귀화용종합평가,2단계,객관식,긍정형,읽기,1
41,귀화용종합평가,1단계,객관식,해당없음,문법,2
42,귀화용종합평가,5단계-한국사회-기본,단답형,해당없음,말하기+문화,3
43,영주용종합평가,5단계-한국사회-심화,객관식,긍정형,말하기+한국사회,1
44,귀화용종합평가,1단계,객관식,해당없음,문화,2
45,사전평가,1단계,작문형,해당없음,말하기+한국문화,3
46,사전평가,1단계,객관식,긍정형,문법,2
47,사전평가,3단계,작문형,부정형,담화,4
48,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,2
49,사전평가,1단계,구술형,긍정형,읽기,3
50,사전평가,1단계,객관식,긍정형,말하기+한국문화,1
51,사전평가,3단계,객관식,부정형,문화,3
52,사전평가,3단계,객관식,긍정형,읽기,4
53,사전평가,3단계,객관식,긍정형,읽기,2
54,사전평가,2단계,객관식,해당없음,읽기,3
55,중간평가,1단계,객관식,해당없음,문화,4
56,사전평가,1단계,작문형,긍정형,말하기,4
57,사전평가,5단계-한국사회-기본,구술형,부정형,어휘,4
58,중간평가,2단계,작문형,해당없음,발음,4
59,사전평가,1단계,객관식,해당없음,쓰기,1
60,사전평가,5단계-한국사회-심화,객관식,부정형,발음,4
61,사전평가,1단계,객관식,긍정형,읽기,3
62,영주용종합평가,3단계,객관식,부정형,쓰기,2
63,사전평가,2단계,객관식,긍정형,문법,4
64,영주용종합평가,5단계-한국사회-심화,작문형,해당없음,문화,1
65,중간평가,3단계,객관식,해당없음,담화,1
66,사전평가,1단계,객관식,해당없음,어휘,1
67,귀화용종합평가,4단계,객관식,부정형,어휘,2
68,사전평가,1단계,객관식,부정형,말하기+한국문화,4
69,중간평가,4단계,객관식,긍정형,말하기+문화,1
70,사전평가,1단계,객관식,해당없음,말하기+문화,3
71,사전평가,2단계,객관식,부정형,말하기+문화,3
72,사전평가,1단계,객관식,해당없음,말하기+문화,1
73,사전평가,1단계,구술형,해당없음,말하기+문화,2
74,사전평가,3단계,객관식,부정형,대한민국 국민의 기본 소양,4
75,사전평가,3단계,객관식,해당없음,말하기+한국문화,1
76,사전평가,1단계,객관식,해당없음,말하기+한국문화,4
77,사전평가,4단계,구술형,긍정형,어휘,2
78,사전평가,4단계,객관식,부정형,말하기,1
79,사전평가,4단계,구술형,부정형,발음,3
80,영주용종합평가,5단계-한국사회-심화,객관식,해당없음,발음,1
81,영주용종합평가,5단계-한국사회-심화,객관식,부정형,말하기+한국사회,4
82,사전평가,2단계,객관식,해당없음,쓰기,4
83,사전평가,2단계,객관식,해당없음,문법,3
84,사전평가,1단계,작문형,부정형,문법,1
85,사전평가,3단계,객관식,부정형,대한민국 국민의 기본 소양,2
86,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,3
87,영주용종합평가,1단계,객관식,부정형,대한민국 국민의 기본 소양,2
88,사전평가,3단계,객관식,해당없음,어휘,4
89,귀화용종합평가,2단계,단답형,긍정형,발음,2
90,사전평가,3단계,작문형,부정형,어휘,2
91,사전평가,3단계,단답형,부정형,말하기+문화,2
92,사전평가,1단계,객관식,해당없음,말하기+한국문화,3
93,영주용종합평가,2단계,단답형,긍정형,말하기+한국사회,3
94,사전평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,1
95,사전평가,5단계-한국사회-심화,구술형,해당없음,읽기,2
96,사전평가,1단계,구술형,부정형,어휘,3
97,사전평가,5단계-한국사회-기본,객관식,부정형,어휘,4
98,중간평가,1단계,작문형,해당없음,말하기+한국사회,4
99,사전평가,1단계,객관식,긍정형,말하기+한국문화,1
100,사전평가,2단계,객관식,긍정형,말하기+한국문화,4
101,영주용종합평가,2단계,단답형,부정형,말하기+한국사회,1
102,사전평가,3단계,객관식,해당없음,문법,4
103,사전평가,1단계,객관식,긍정형,읽기,2
104,사전평가,1단계,객관식,긍정형,읽기,3
105,귀화용종합평가,3단계,객관식,긍정형,문화,3
106,사전평가,1단계,객관식,해당없음,쓰기,3
107,사전평가,3단계,단답형,긍정형,대한민국 국민의 기본 소양,2
108,중간평가,2단계,객관식,긍정형,문화,3
109,사전평가,1단계,객관식,해당없음,말하기+한국사회,1
110,사전평가,4단계,객관식,해당없음,읽기,3
111,사전평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,4
112,중간평가,1단계,객관식,해당없음,쓰기,4
113,사전평가,1단계,객관식,긍정형,말하기+한국사회,1
114,사전평가,2단계,객관식,부정형,문화,2
115,사전평가,2단계,객관식,해당없음,말하기+한국문화,3
116,사전평가,3단계,단답형,부정형,발음,1
117,사전평가,2단계,객관식,긍정형,문법,1
118,영주용종합평가,1단계,객관식,긍정형,문화,4
119,사전평가,5단계-한국사회-심화,객관식,해당없음,쓰기,4
120,영주용종합평가,3단계,구술형,부정형,말하기,2
121,귀화용종합평가,1단계,객관식,부정형,쓰기,2
122,중간평가,2단계,객관식,긍정형,읽기,4
123,중간평가,3단계,객관식,긍정형,문화,3
124,사전평가,2단계,객관식,해당없음,문법,3
125,귀화용종합평가,5단계-한국사회-기본,객관식,긍정형,어휘,3
126,영주용종합평가,3단계,객관식,긍정형,발음,2
127,사전평가,1단계,단답형,해당없음,말하기+한국문화,3
128,귀화용종합평가,2단계,객관식,해당없음,어휘,2
129,사전평가,2단계,객관식,해당없음,읽기,4
130,사전평가,2단계,단답형,긍정형,쓰기,4
131,중간평가,1단계,구술형,긍정형,쓰기,3
132,귀화용종합평가,5단계-한국사회-기본,객관식,부정형,문화,4
133,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,1
134,귀화용종합평가,3단계,객관식,긍정형,말하기+한국문화,4
135,사전평가,3단계,단답형,긍정형,발음,4
136,사전평가,1단계,객관식,해당없음,문화,2
137,사전평가,4단계,객관식,해당없음,문법,3
138,사전평가,2단계,작문형,부정형,어휘,3
139,사전평가,3단계,객관식,부정형,읽기,2
140,사전평가,3단계,단답형,부정형,대한민국 국민의 기본 소양,2
141,사전평가,2단계,객관식,해당없음,말하기,4
142,중간평가,1단계,구술형,해당없음,발음,2
143,중간평가,5단계-한국사회-기본,객관식,긍정형,말하기,4
144,사전평가,3단계,객관식,부정형,읽기,1
145,사전평가,1단계,객관식,긍정형,쓰기,1
146,사전평가,4단계,객관식,부정형,담화,1
147,사전평가,2단계,객관식,부정형,읽기,4
148,사전평가,2단계,객관식,긍정형,담화,1
149,사전평가,2단계,구술형,해당없음,읽기,3
150,사전평가,1단계,객관식,부정형,말하기+한국사회,2
151,사전평가,2단계,객관식,해당없음,문법,4
152,귀화용종합평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,4
153,사전평가,3단계,단답형,부정형,말하기+한국문화,2
154,영주용종합평가,3단계,객관식,해당없음,쓰기,4
155,사전평가,1단계,객관식,해당없음,읽기,2
156,중간평가,4단계,단답형,긍정형,말하기+한국사회,4
157,사전평가,3단계,객관식,긍정형,담화,1
158,사전평가,3단계,객관식,긍정형,말하기+문화,2
159,사전평가,1단계,구술형,해당없음,어휘,4
160,사전평가,4단계,객관식,해당없음,문법,2
161,영주용종합평가,1단계,객관식,부정형,읽기,1
162,사전평가,4단계,작문형,부정형,읽기,1
163,사전평가,2단계,객관식,해당없음,말하기,2
164,사전평가,2단계,객관식,해당없음,읽기,2
165,영주용종합평가,2단계,객관식,긍정형,말하기+한국문화,2
166,사전평가,2단계,객관식,해당없음,쓰기,1
167,사전평가,1단계,객관식,긍정형,말하기+한국문화,3
168,영주용종합평가,5단계-한국사회-기본,객관식,부정형,쓰기,2
169,사전평가,2단계,객관식,긍정형,말하기,4
170,귀화용종합평가,4단계,객관식,긍정형,담화,1
171,사전평가,3단계,객관식,부정형,담화,3
172,사전평가,1단계,객관식,해당없음,말하기+한국사회,4
173,사전평가,1단계,구술형,해당없음,어휘,3
174,사전평가,2단계,객관식,부정형,말하기,2
175,사전평가,1단계,객관식,부정형,읽기,2
176,사전평가,1단계,객관식,긍정형,말하기+한국문화,3
177,귀화용종합평가,1단계,객관식,해당없음,담화,4
178,사전평가,3단계,객관식,부정형,말하기+한국사회,4
179,사전평가,4단계,작문형,긍정형,말하기+문화,2
180,사전평가,5단계-한국사회-심화,단답형,부정형,담화,4
181,사전평가,4단계,객관식,부정형,어휘,3
182,사전평가,1단계,객관식,긍정형,담화,4
183,사전평가,2단계,객관식,해당없음,문화,2
184,사전평가,1단계,단답형,해당없음,어휘,4
185,사전평가,1단계,작문형,부정형,말하기,2
186,사전평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,1
187,사전평가,5단계-한국사회-기본,객관식,해당없음,문화,1
188,중간평가,1단계,단답형,부정형,말하기+한국문화,4
189,사전평가,2단계,객관식,긍정형,쓰기,3
190,사전평가,1단계,작문형,부정형,발음,2
191,사전평가,4단계,객관식,해당없음,어휘,4
192,영주용종합평가,3단계,객관식,해당없음,말하기+한국문화,3
193,사전평가,1단계,객관식,해당없음,읽기,1
194,사전평가,4단계,객관식,긍정형,말하기+한국사회,3
195,사전평가,3단계,객관식,부정형,문법,2
196,사전평가,3단계,객관식,해당없음,어휘,4
197,영주용종합평가,1단계,단답형,해당없음,말하기+문화,1
198,중간평가,3단계,객관식,해당없음,대한민국 국민의 기본 소양,1
199,사전평가,2단계,객관식,부정형,쓰기,4
200,중간평가,1단계,객관식,부정형,말하기+문화,1
201,사전평가,1단계,단답형,긍정형,발음,3
202,사전평가,4단계,객관식,해당없음,대한민국 국민의 기본 소양,1
203,사전평가,1단계,객관식,긍정형,말하기+문화,2
204,귀화용종합평가,4단계,객관식,부정형,발음,4
205,사전평가,3단계,객관식,해당없음,말하기,4
206,귀화용종합평가,1단계,객관식,해당없음,쓰기,2
207,사전평가,1단계,객관식,해당없음,문법,3
208,사전평가,1단계,객관식,해당없음,읽기,4
209,사전평가,1단계,객관식,해당없음,담화,4
210,사전평가,2단계,작문형,긍정형,쓰기,3
211,사전평가,1단계,객관식,긍정형,발음,3
212,귀화용종합평가,1단계,객관식,해당없음,대한민국 국민의 기본 소양,3
213,사전평가,5단계-한국사회-기본,객관식,해당없음,말하기,4
214,사전평가,5단계-한국사회-심화,객관식,부정형,읽기,3
215,사전평가,2단계,객관식,긍정형,말하기+한국문화,2
216,사전평가,5단계-한국사회-기본,객관식,부정형,말하기+한국문화,4
217,사전평가,2단계,객관식,부정형,문법,2
218,영주용종합평가,1단계,객관식,해당없음,담화,2
219,귀화용종합평가,4단계,객관식,부정형,문법,3
220,귀화용종합평가,2단계,객관식,해당없음,대한민국 국민의 기본 소양,4
221,중간평가,5단계-한국사회-기본,객관식,부정형,발음,3
222,중간평가,2단계,객관식,해당없음,말하기+문화,1
223,중간평가,3단계,객관식,해당없음,읽기,3
224,사전평가,3단계,단답형,부정형,담화,3
225,사전평가,2단계,객관식,긍정형,문법,4
226,사전평가,5단계-한국사회-기본,단답형,긍정형,발음,2
227,사전평가,3단계,구술형,긍정형,말하기+한국문화,2
228,사전평가,3단계,객관식,긍정형,대한민국 국민의 기본 소양,3
229,사전평가,2단계,단답형,해당없음,문화,1
230,사전평가,4단계,객관식,해당없음,담화,1
231,사전평가,1단계,객관식,해당없음,문화,3
232,사전평가,3단계,객관식,해당없음,문법,1
233,사전평가,3단계,객관식,긍정형,말하기,1
234,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,4
235,사전평가,4단계,객관식,해당없음,담화,4
236,영주용종합평가,4단계,객관식,긍정형,담화,3
237,사전평가,1단계,구술형,해당없음,말하기+한국사회,3
238,영주용종합평가,1단계,단답형,긍정형,담화,1
239,사전평가,5단계-한국사회-심화,단답형,부정형,말하기+한국사회,2
240,사전평가,5단계-한국사회-기본,객관식,해당없음,발음,1
241,사전평가,1단계,객관식,해당없음,말하기+한국문화,2
242,사전평가,4단계,작문형,긍정형,말하기+문화,2
243,사전평가,2단계,객관식,긍정형,읽기,3
244,사전평가,2단계,객관식,부정형,읽기,4
245,중간평가,2단계,단답형,부정형,읽기,4
246,사전평가,3단계,객관식,부정형,어휘,2
247,사전평가,3단계,객관식,부정형,말하기+한국사회,1
248,사전평가,2단계,객관식,부정형,쓰기,3
249,사전평가,3단계,객관식,부정형,말하기+한국사회,4
250,영주용종합평가,2단계,객관식,긍정형,문법,2
251,중간평가,5단계-한국사회-기본,단답형,부정형,대한민국 국민의 기본 소양,3
252,사전평가,4단계,객관식,긍정형,담화,4
253,영주용종합평가,2단계,구술형,긍정형,말하기+한국문화,1
254,귀화용종합평가,3단계,객관식,부정형,말하기,1
255,영주용종합평가,3단계,객관식,긍정형,말하기+한국문화,3
256,사전평가,2단계,객관식,해당없음,말하기+한국사회,1
257,사전평가,1단계,작문형,긍정형,대한민국 국민의 기본 소양,1
258,중간평가,4단계,객관식,부정형,말하기+한국문화,4
259,사전평가,3단계,객관식,해당없음,문법,3
260,사전평가,1단계,객관식,해당없음,발음,2
261,영주용종합평가,3단계,객관식,해당없음,문화,4
262,사전평가,2단계,객관식,부정형,말하기+한국문화,2
263,귀화용종합평가,1단계,객관식,해당없음,어휘,3
264,사전평가,4단계,객관식,부정형,어휘,2
265,사전평가,2단계,작문형,긍정형,말하기+한국문화,4
266,귀화용종합평가,3단계,객관식,긍정형,말하기+한국사회,4
267,사전평가,1단계,객관식,해당없음,읽기,1
268,사전평가,1단계,객관식,긍정형,문화,3
269,사전평가,3단계,객관식,부정형,말하기+문화,2
270,사전평가,1단계,객관식,부정형,읽기,1
271,사전평가,3단계,단답형,부정형,말하기+한국사회,3
272,영주용종합평가,1단계,객관식,해당없음,문화,1
273,사전평가,3단계,객관식,해당없음,담화,2
274,사전평가,2단계,객관식,긍정형,말하기+한국문화,4
275,영주용종합평가,5단계-한국사회-심화,객관식,긍정형,말하기+한국문화,4
276,사전평가,1단계,객관식,긍정형,말하기+한국문화,1
