문제번호,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,귀화용종합평가,1.0,2단계,객관식,중,어휘,명사
2,귀화용종합평가,1.0,3단계,객관식,중,어휘,동사
3,귀화용종합평가,1.0,4단계,객관식,중,어휘,형용사
4,귀화용종합평가,1.0,2단계,객관식,중,문법,관형형
5,귀화용종합평가,1.0,3단계,객관식,중,문법,연결 표현
6,귀화용종합평가,1.0,3단계,객관식,중,문법,종결 표현
7,귀화용종합평가,1.0,4단계,객관식,중,문법,연결 표현
8,귀화용종합평가,1.0,4단계,객관식,중,문법,종결 표현
9,귀화용종합평가,2.0,3단계,객관식,중,읽기,
10,귀화용종합평가,2.0,4단계,객관식,중,읽기,
11,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,사회,
12,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,사회,
13,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,교육,
14,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,문화,
15,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,문화,
16,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,정치,
17,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,정치,
18,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,경제,
19,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,경제,
20,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,법,
21,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,법,
22,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,법,
23,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,역사,
24,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,역사,
25,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,지리,
26,귀화용종합평가,2.0,5단계-한국사회-기본,객관식,중,지리,
27,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 국민,
28,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 국민,
29,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 역사와 발전,
30,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 역사와 발전,
31,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 정치와 외교,
32,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 정치와 외교,
33,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 경제,
34,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 경제,
35,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 법질서,
36,귀화용종합평가,2.0,5단계-한국사회-심화,객관식,중,대한민국의 법질서,담화구성(작문)
37,귀화용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
38,귀화용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
39,귀화용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
40,귀화용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",
