문제번호,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,영주용종합평가,1.5,2단계,객관식,중,어휘,명사
2,영주용종합평가,1.5,3단계,객관식,중,어휘,명사
3,영주용종합평가,1.5,4단계,객관식,중,어휘,형용사
4,영주용종합평가,1.5,4단계,객관식,중,어휘,동사
5,영주용종합평가,1.5,2단계,객관식,중,문법,관형형
6,영주용종합평가,1.5,2단계,객관식,중,문법,종결 표현
7,영주용종합평가,1.5,3단계,객관식,중,문법,연결 표현
8,영주용종합평가,1.5,3단계,객관식,중,문법,종결 표현
9,영주용종합평가,1.5,3단계,객관식,중,문법,연결 표현
10,영주용종합평가,1.5,4단계,객관식,중,문법,종결 표현
11,영주용종합평가,1.5,4단계,객관식,중,문법,연결 표현
12,영주용종합평가,1.5,4단계,객관식,중,문법,종결 표현
13,영주용종합평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
14,영주용종합평가,1.5,3단계,객관식,중,읽기,세부 내용 파악
15,영주용종합평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
16,영주용종합평가,1.5,4단계,객관식,중,읽기,세부 내용 파악
17,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,사회,"한국의 상징, 가족, 일터, 교통과 통신"
18,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,사회,"주거, 도시와 농촌, 복지, 의료와 안전"
19,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,교육,"보육 제도, 초⋅중등 교육"
20,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,교육,고등 교육과 입시
21,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,문화,"전통 가치, 전통 의식주, 의례, 명절"
22,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,문화,"종교, 대중문화, 여가문화"
23,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,정치,"한국의 민주 정치, 입법부"
24,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,정치,"행정부, 사법부, 선거와 지방자치"
25,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,경제,"일상생활과 경제 활동, 경제 성장, 장보기와 소비자 보호"
26,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,경제,금융기관 이용하기
27,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,경제,취업하기
28,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,법,"외국인과 법, 한국 체류와 법, 한국 국적과 법"
29,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,법,"가족과 법, 재산과 법, 생활 법률"
30,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,법,"범죄와 법, 권리 보호와 법"
31,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,역사,"고조선의 건국, 삼국 시대와 남북국 시대, 고려 시대"
32,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,역사,"조선의 건국과 발전, 일제 강점과 독립운동"
33,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,역사,"한국의 역사 인물, 한국의 문화유산"
34,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,지리,"한국의 기후와 지형, 수도권"
35,영주용종합평가,1.5,5단계-한국사회-기본,객관식,중,지리,"충청 지역, 전라 지역"
36,영주용종합평가,1.5,5단계-한국사회-심화,객관식,중,지리,"경상 지역, 강원, 제주 지역"
37,영주용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
38,영주용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
39,영주용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
40,영주용종합평가,10.0,5단계-한국사회-심화,작문형,중,"3,4단계 담화",담화구성(작문)
