문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,12005,사전평가,1.5,1단계,객관식,중,어휘,명사
2,33237,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,28860,사전평가,1.5,1단계,객관식,중,어휘,동사
4,47992,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,35419,사전평가,1.5,2단계,객관식,중,어휘,명사
6,44855,사전평가,1.5,2단계,객관식,중,어휘,동사
7,12460,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,2635,사전평가,1.5,2단계,객관식,중,어휘,부사
9,39009,사전평가,1.5,3단계,객관식,중,어휘,명사
10,34003,사전평가,1.5,3단계,객관식,중,어휘,동사
11,46507,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,23050,사전평가,1.5,4단계,객관식,중,어휘,명사
13,31746,사전평가,1.5,4단계,객관식,중,어휘,동사
14,41757,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,37281,사전평가,1.5,1단계,객관식,중,문법,조사
16,11605,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,8920,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,10929,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,7943,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,35026,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,32357,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,38985,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,16554,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,25966,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,12606,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,31077,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,29137,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,7373,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,37882,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,43770,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,16518,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,15205,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,45621,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,13627,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,45359,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,25720,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,14409,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,3425,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,49068,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,36691,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,6820,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,32181,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,45314,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,30835,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,45713,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,4190,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,16099,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,26816,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,34814,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,21673,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
