문제번호,문항코드,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,49771,사전평가,1.5,1단계,객관식,중,어휘,명사
2,20109,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,13758,사전평가,1.5,1단계,객관식,중,어휘,동사
4,38724,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,20017,사전평가,1.5,2단계,객관식,중,어휘,명사
6,30680,사전평가,1.5,2단계,객관식,중,어휘,동사
7,39815,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,677,사전평가,1.5,2단계,객관식,중,어휘,부사
9,12639,사전평가,1.5,3단계,객관식,중,어휘,명사
10,33413,사전평가,1.5,3단계,객관식,중,어휘,동사
11,7561,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,45656,사전평가,1.5,4단계,객관식,중,어휘,명사
13,12109,사전평가,1.5,4단계,객관식,중,어휘,동사
14,2945,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,8970,사전평가,1.5,1단계,객관식,중,문법,조사
16,36625,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,12466,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,2544,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,36820,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,23947,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,49377,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,24709,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,23174,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,22984,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,34244,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,19672,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,24144,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,3725,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,48407,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,45813,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,39796,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,33329,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,30227,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,375,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,21343,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,10967,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,39378,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,1338,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,3247,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,30087,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,41274,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,10614,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,10714,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,44773,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,46764,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,6976,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,13324,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,38767,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,23393,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,6507,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
