문항코드,평가종류,출제단계,문항유형,감성,평가영역,정답
1,사전평가,2단계,객관식,부정형,대한민국 국민의 기본 소양,4
2,중간평가,1단계,객관식,부정형,어휘,3
3,사전평가,1단계,객관식,부정형,말하기+한국문화,3
4,사전평가,3단계,객관식,해당없음,쓰기,1
5,사전평가,3단계,객관식,부정형,말하기+한국사회,4
6,귀화용종합평가,3단계,객관식,해당없음,대한민국 국민의 기본 소양,2
7,사전평가,4단계,객관식,부정형,대한민국 국민의 기본 소양,2
8,사전평가,1단계,객관식,긍정형,대한민국 국민의 기본 소양,3
9,사전평가,1단계,구술형,긍정형,말하기+한국문화,2
10,귀화용종합평가,1단계,객관식,부정형,어휘,4
11,사전평가,3단계,단답형,해당없음,말하기+문화,2
12,사전평가,3단계,작문형,긍정형,어휘,3
13,중간평가,3단계,객관식,긍정형,말하기+문화,1
14,사전평가,1단계,객관식,해당없음,말하기,2
15,사전평가,1단계,객관식,해당없음,쓰기,3
16,사전평가,1단계,객관식,부정형,말하기,2
17,사전평가,1단계,단답형,해당없음,말하기,1
18,귀화용종합평가,1단계,객관식,긍정형,쓰기,3
19,중간평가,1단계,객관식,긍정형,말하기+한국사회,2
20,사전평가,3단계,단답형,부정형,쓰기,1
21,사전평가,4단계,단답형,부정형,쓰기,4
22,귀화용종합평가,1단계,객관식,해당없음,쓰기,3
23,사전평가,1단계,단답형,해당없음,대한민국 국민의 기본 소양,1
24,사전평가,4단계,객관식,긍정형,어휘,1
25,사전평가,3단계,객관식,긍정형,담화,4
26,영주용종합평가,1단계,객관식,부정형,읽기,1
27,사전평가,1단계,객관식,긍정형,어휘,4
28,사전평가,1단계,작문형,부정형,말하기,4
29,사전평가,2단계,객관식,긍정형,문법,4
30,귀화용종합평가,4단계,구술형,긍정형,쓰기,4
31,사전평가,3단계,객관식,해당없음,문법,1
32,사전평가,2단계,단답형,부정형,발음,1
33,사전평가,1단계,작문형,해당없음,발음,4
34,귀화용종합평가,1단계,객관식,부정형,담화,1
35,중간평가,2단계,객관식,부정형,담화,4
36,사전평가,2단계,객관식,긍정형,대한민국 국민의 기본 소양,4
37,사전평가,4단계,작문형,부정형,어휘,2
38,사전평가,3단계,객관식,부정형,말하기+한국문화,1
39,사전평가,2단계,구술형,부정형,문법,3
40,사전평가,2단계,객관식,긍정형,문화,2
