문제번호,평가종류,배점,출제단계,문항유형,난이도,평가영역,평가항목
1,사전평가,1.5,1단계,객관식,중,어휘,명사
2,사전평가,1.5,1단계,객관식,중,문법,"명사, 조사"
3,사전평가,1.5,1단계,객관식,중,어휘,동사
4,사전평가,1.5,1단계,객관식,중,어휘,형용사
5,사전평가,1.5,2단계,객관식,중,어휘,명사
6,사전평가,1.5,2단계,객관식,중,어휘,동사
7,사전평가,1.5,2단계,객관식,중,어휘,형용사
8,사전평가,1.5,2단계,객관식,중,어휘,부사
9,사전평가,1.5,3단계,객관식,중,어휘,명사
10,사전평가,1.5,3단계,객관식,중,어휘,동사
11,사전평가,1.5,3단계,객관식,중,어휘,형용사
12,사전평가,1.5,4단계,객관식,중,어휘,명사
13,사전평가,1.5,4단계,객관식,중,어휘,동사
14,사전평가,1.5,4단계,객관식,중,어휘,형용사
15,사전평가,1.5,1단계,객관식,중,문법,조사
16,사전평가,1.5,1단계,객관식,중,문법,연결 표현
17,사전평가,1.5,1단계,객관식,중,문법,"종결 표현, 연결 표현"
18,사전평가,1.5,2단계,객관식,중,문법,연결 표현
19,사전평가,1.5,2단계,객관식,중,문법,연결 표현
20,사전평가,1.5,2단계,객관식,중,문법,종결 표현
21,사전평가,1.5,3단계,객관식,중,문법,연결 표현
22,사전평가,1.5,3단계,객관식,중,문법,연결 표현
23,사전평가,1.5,3단계,객관식,중,문법,종결 표현
24,사전평가,1.5,3단계,객관식,중,문법,종결 표현
25,사전평가,1.5,4단계,객관식,중,문법,연결 표현
26,사전평가,1.5,4단계,객관식,중,문법,연결 표현
27,사전평가,1.5,4단계,객관식,중,문법,종결 표현
28,사전평가,1.5,4단계,객관식,중,문법,종결 표현
29,사전평가,1.5,1단계,객관식,중,쓰기,문맥에 맞는 문장 완성
30,사전평가,1.5,2단계,객관식,중,쓰기,문맥에 맞는 문장 완성
31,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
32,사전평가,1.5,3단계,객관식,중,쓰기,문맥에 맞는 문장 완성
33,사전평가,1.5,4단계,객관식,중,쓰기,문맥에 맞는 문장 완성
34,사전평가,1.5,1단계,객관식,중,읽기,세부 내용 파악
35,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
36,사전평가,1.5,2단계,객관식,중,읽기,세부 내용 파악
37,사전평가,1.5,3단계,객관식,중,읽기,중심 내용 파악
38,사전평가,1.5,4단계,객관식,중,읽기,핵심 내용 추론
39,사전평가,1.5,1단계,객관식,중,문화,문화 정보
40,사전평가,1.5,1단계,객관식,중,문화,문화 정보
41,사전평가,1.5,2단계,객관식,중,문화,문화 정보
42,사전평가,1.5,2단계,객관식,중,문화,문화 정보
43,사전평가,1.5,3단계,객관식,중,문화,문화 정보
44,사전평가,1.5,3단계,객관식,중,문화,문화 정보
45,사전평가,1.5,3단계,객관식,중,문화,문화 정보
46,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
47,사전평가,1.5,4단계,객관식,중,문화,"문화 행동, 문화 정보"
48,사전평가,1.5,4단계,객관식,중,문화,"문화 정보, 문화 관점"
49,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
50,사전평가,1.5,4단계,단답형,중,문화,문맥에 맞는 문장 완성
